address,name,labels,name_parsed,0,1,2,3,4
0x0e8ba001a821f3ce0734763d008c9d7c957f5852,AmadeusRelay,"0x-protocol-ecosystem,dex",AmadeusRelay,0x-protocol-ecosystem,dex,,,
0xc898fbee1cc94c0ff077faa5449915a506eff384,Bamboo Relay,"0x-protocol-ecosystem,dex",Bamboo,0x-protocol-ecosystem,dex,,,
0x58a5959a6c528c5d5e03f7b9e5102350e24005f1,ERC dEX,"0x-protocol-ecosystem,dex",ERC,0x-protocol-ecosystem,dex,,,
0x2cc42d1cd65af27cc999e41ef93d1a763dc821f8,IDT Exchange,"0x-protocol-ecosystem,dex",IDT,0x-protocol-ecosystem,dex,,,
0x4524baa98f9a3b9dec57caae7633936ef96bd708,LedgerDex,"0x-protocol-ecosystem,dex",LedgerDex,0x-protocol-ecosystem,dex,,,
0xc22d5b2951db72b44cfb8089bb8cd374a3c354ea,OpenRelay,"0x-protocol-ecosystem,dex",OpenRelay,0x-protocol-ecosystem,dex,,,
0xd2045edc40199019e221d71c0913343f7908d0d5,Paradex,"0x-protocol-ecosystem,dex",Paradex,0x-protocol-ecosystem,dex,,,
0xa258b39954cef5cb142fd567a46cddb31a670124,Radar Relay,"0x-protocol-ecosystem,dex",Radar,0x-protocol-ecosystem,dex,,,
0x55890b06f0877a01bb5349d93b202961f8e27a9b,Shark Relay,"0x-protocol-ecosystem,dex",Shark,0x-protocol-ecosystem,dex,,,
0x0681e844593a051e2882ec897ecd5444efe19ff2,Star Bit Ex,"0x-protocol-ecosystem,dex",Star,0x-protocol-ecosystem,dex,,,
0x7219612be7036d1bfa933e16ca1246008f38c5fe,The Ocean,"0x-protocol-ecosystem,dex",The,0x-protocol-ecosystem,dex,,,
0x5e150a33ffa97a8d22f59c77ae5487b089ef62e9,TokenJar,"0x-protocol-ecosystem,dex",TokenJar,0x-protocol-ecosystem,dex,,,
0xdffe798c7172dd6deb32baee68af322e8f495ce0,0x: Asset Proxy Owner,0x-protocol,0x,0x-protocol,,,,
0x45797531b873fd5e519477a070a955764c1a5b07,0x: Coordinator Registry V3,0x-protocol,0x,0x-protocol,,,,
0x38a795580d0f687e399913a00ddef6a17612c722,0x: Coordinator V3,0x-protocol,0x,0x-protocol,,,,
0xccc2431a7335f21d9268ba62f0b32b0f2efc463f,0x: Dev Utils,0x-protocol,0x,0x-protocol,,,,
0x7eefbd48fd63d441ec7435d024ec7c5131019add,0x: ERC1155 Proxy V3,0x-protocol,0x,0x-protocol,,,,
0x8ed95d1746bf1e4dab58d8ed4724f1ef95b20db0,0x: Erc20 Bridge Proxy,"0x-protocol,bridge",0x,0x-protocol,bridge,,,
0x95e6f48254609a6ee006f7d493c8e5fb97094cef,0x: ERC20 Proxy V3,0x-protocol,0x,0x-protocol,,,,
0xefc70a1b18c432bdc64b596838b4d138f6bc6cad,0x: ERC721 Proxy V3,0x-protocol,0x,0x-protocol,,,,
0x0ac2d6f5f5afc669d3ca38f830dad2b4f238ad3f,0x: Eth2Dai Bridge,"0x-protocol,bridge",0x,0x-protocol,bridge,,,
0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x: Exchange Proxy,"0x-protocol,dex",0x,0x-protocol,dex,,,
0xf740b67da229f2f10bcbd38a7979992fcc71b8eb,0x: Exchange Proxy Allowance Target,0x-protocol,0x,0x-protocol,,,,
0x080bf510fcbf18b91105470639e9561022937712,0x: Exchange v2.1,0x-protocol,0x,0x-protocol,,,,
0x61935cbdd02287b511119ddb11aeb42f1593b7ef,0x: Exchange v3,0x-protocol,0x,0x-protocol,,,,
0x206376e8940e42538781cd94ef024df3c1e0fd43,0x: Ext Dev Pool,0x-protocol,0x,0x-protocol,,,,
0xa3ac9844514b96bb502627ca9dceb57c4be289e3,0x: Forwarder 2,0x-protocol,0x,0x-protocol,,,,
0x7d3455421bbc5ed534a83c88fd80387dc8271392,0x: Governor V3,0x-protocol,0x,0x-protocol,,,,
0xef701d5389ae74503d633396c4d654eabedc9d78,0x: Multi Asset Proxy V3,0x-protocol,0x,0x-protocol,,,,
0xa09329c6003c9a5402102e226417738ee22cf1f2,0x: Order Validator,0x-protocol,0x,0x-protocol,,,,
0x2a17c35ff147b32f13f19f2e311446eeb02503f3,0x: Staking,"0x-protocol,staking",0x,0x-protocol,staking,,,
0xa26e80e7dea86279c6d778d702cc413e6cffa777,0x: Staking Proxy V3,"0x-protocol,staking",0x,0x-protocol,staking,,,
0x3517b88c19508c08650616019062b898ab65ed29,0x: Static Call Proxy V3,0x-protocol,0x,0x-protocol,,,,
0x926a74c5c36adf004c87399e65f75628b0f98d2c,0x: Token Registry,0x-protocol,0x,0x-protocol,,,,
0x8da0d80f5007ef1e431dd2127178d224e32c2ef4,0x: Token Transfer Proxy,0x-protocol,0x,0x-protocol,,,,
0xa6baaed2053058a3c8f11e0c7a9716304454b09e,0x: Uniswap Bridge,"0x-protocol,bridge",0x,0x-protocol,bridge,,,
0xe41d2489571d322189246dafa5ebde1f4699f498,0x: ZRX Token,0x-protocol,0x,0x-protocol,,,,
0xba7f8b5fb1b19c1211c5d49550fcd149177a5eaf,0x: ZRX Vault V3,"0x-protocol,staking",0x,0x-protocol,staking,,,
0xda6d9fc5998f550a094585cf9171f0e8ee3ac59f,0x: Affiliate Fee Transformer,0x-protocol,0x,0x-protocol,,,,
0xd4690a51044db77d91d7aa8f7a3a5ad5da331af0,0x: Broker V3,0x-protocol,0x,0x-protocol,,,,
0xe66b31678d6c16e9ebf358268a790b763c133750,0x: Coinbase Wallet Proxy,"0x-protocol,dex",0x,0x-protocol,dex,,,
0xa3b2d1087bcebe59d188a23f75620612d967df72,0x: Deployer,0x-protocol,0x,0x-protocol,,,,
0x2d7dc2ef7c6f6a2cbc3dba4db97b2ddb40e20713,0x: Deployer 2,0x-protocol,0x,0x-protocol,,,,
0x3b39078f2a3e1512eecc8d6792fdc7f33e1cd2cf,0x: Deployer 3,0x-protocol,0x,0x-protocol,,,,
0x74134cf88b21383713e096a5ecf59e297dc7f547,0x: Dev Utils 2,0x-protocol,0x,0x-protocol,,,,
0x161793cdca4ff9e766a706c2c49c36ac1340bbcd,0x: Dev Utils V3,0x-protocol,0x,0x-protocol,,,,
0xd8c38704c9937ea3312de29f824b4ad3450a5e61,0x: ERC20 Bridge Sampler,0x-protocol,0x,0x-protocol,,,,
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,0x: Exchange Proxy Flash Wallet,0x-protocol,0x,0x-protocol,,,,
0x618f9c67ce7bf1a50afa1e7e0238422601b0ff6e,0x: Exchange Proxy Governor,0x-protocol,0x,0x-protocol,,,,
0x407b4128e9ecad8769b2332312a9f655cb9f5f3a,0x: Exchange Proxy Liquidity Provider Sandbox,0x-protocol,0x,0x-protocol,,,,
0x39dce47a67ad34344eab877eae3ef1fa2a1d50bb,0x: Exchange Proxy Transformer Deployer,0x-protocol,0x,0x-protocol,,,,
0xb4fa284689c9784a60d840eb136bb16c5246191f,0x: Fill Quote Transformer,0x-protocol,0x,0x-protocol,,,,
0x6958f5e95332d93d21af0d7b9ca85b8212fee0a5,0x: Forwarder V3,0x-protocol,0x,0x-protocol,,,,
0x606af0bd4501855914b50e2672c5926b896737ef,0x: MultiSig,"0x-protocol,ico-wallets",0x,0x-protocol,ico-wallets,,,
0x01d9f4d104668cdc0b6d13c45dff5e15d58d8f28,0x: MultiSig 2,"0x-protocol,ico-wallets",0x,0x-protocol,ico-wallets,,,
0x4638a7ebe75b911b995d0ec73a81e4f85f41f24e,0x: Pay Taker Transformer,0x-protocol,0x,0x-protocol,,,,
0xa9416ce1dbde8d331210c07b5c253d94ee4cc3fd,0x: Positive Slippage Fee Transformer,0x-protocol,0x,0x-protocol,,,,
0xdb63d40c033d35e79cdbb21430f0fe10e9d97303,0x: Team Vesting,0x-protocol,0x,0x-protocol,,,,
0xd4fd252d7d2c9479a8d616f510eac6243b5dddf9,0x: Token Sale,"0x-protocol,token-sale",0x,0x-protocol,token-sale,,,
0x06adaff9c864eb59ade310bc21150a8f4d5d4ab4,0x: WBTC Merchant Deposit Address,"0x-protocol,wbtc-merchant",0x,0x-protocol,wbtc-merchant,,,
