address,chain,contract,tags_id,tags_label,tags_rank,tags_excludeEntities,tags_tagParams,arkhamLabel_name,arkhamLabel_chainType,name,note,id,type,service,addresses,website,twitter,crunchbase,linkedin
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,arbitrum_one,False,,,,,,,,Uniswap,,uniswap,dex,,,https://uniswap.org,https://twitter.com/Uniswap,https://www.crunchbase.com/organization/uniswap-labs,https://www.linkedin.com/company/uniswaporg
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,avalanche,False,,,,,,,,Uniswap,,uniswap,dex,,,https://uniswap.org,https://twitter.com/Uniswap,https://www.crunchbase.com/organization/uniswap-labs,https://www.linkedin.com/company/uniswaporg
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,base,False,,,,,,,,Uniswap,,uniswap,dex,,,https://uniswap.org,https://twitter.com/Uniswap,https://www.crunchbase.com/organization/uniswap-labs,https://www.linkedin.com/company/uniswaporg
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,blast,False,,,,,,,,Uniswap,,uniswap,dex,,,https://uniswap.org,https://twitter.com/Uniswap,https://www.crunchbase.com/organization/uniswap-labs,https://www.linkedin.com/company/uniswaporg
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,bsc,False,,,,,,,,Uniswap,,uniswap,dex,,,https://uniswap.org,https://twitter.com/Uniswap,https://www.crunchbase.com/organization/uniswap-labs,https://www.linkedin.com/company/uniswaporg
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,ethereum,True,,,,,,uni,evm,Uniswap,,uniswap,dex,,,https://uniswap.org,https://twitter.com/Uniswap,https://www.crunchbase.com/organization/uniswap-labs,https://www.linkedin.com/company/uniswaporg
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,flare,False,,,,,,,,Uniswap,,uniswap,dex,,,https://uniswap.org,https://twitter.com/Uniswap,https://www.crunchbase.com/organization/uniswap-labs,https://www.linkedin.com/company/uniswaporg
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,linea,False,,,,,,,,Uniswap,,uniswap,dex,,,https://uniswap.org,https://twitter.com/Uniswap,https://www.crunchbase.com/organization/uniswap-labs,https://www.linkedin.com/company/uniswaporg
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,manta,False,,,,,,,,Uniswap,,uniswap,dex,,,https://uniswap.org,https://twitter.com/Uniswap,https://www.crunchbase.com/organization/uniswap-labs,https://www.linkedin.com/company/uniswaporg
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,mantle,False,,,,,,,,Uniswap,,uniswap,dex,,,https://uniswap.org,https://twitter.com/Uniswap,https://www.crunchbase.com/organization/uniswap-labs,https://www.linkedin.com/company/uniswaporg
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,optimism,False,,,,,,,,Uniswap,,uniswap,dex,,,https://uniswap.org,https://twitter.com/Uniswap,https://www.crunchbase.com/organization/uniswap-labs,https://www.linkedin.com/company/uniswaporg
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,polygon,False,,,,,,,,Uniswap,,uniswap,dex,,,https://uniswap.org,https://twitter.com/Uniswap,https://www.crunchbase.com/organization/uniswap-labs,https://www.linkedin.com/company/uniswaporg
0x1d42064fc4beb5f8aaf85f4617ae8b3b5b8bd801,sonic,False,,,,,,,,Uniswap,,uniswap,dex,,,https://uniswap.org,https://twitter.com/Uniswap,https://www.crunchbase.com/organization/uniswap-labs,https://www.linkedin.com/company/uniswaporg
0xd05cf750bd403c97d4d184865ab6e41817ae2c2d,arbitrum_one,False,,,,,,,,,,,,,,,,,
0xd05cf750bd403c97d4d184865ab6e41817ae2c2d,avalanche,False,,,,,,,,,,,,,,,,,
0xd05cf750bd403c97d4d184865ab6e41817ae2c2d,base,False,,,,,,,,,,,,,,,,,
0xd05cf750bd403c97d4d184865ab6e41817ae2c2d,blast,False,,,,,,,,,,,,,,,,,
0xd05cf750bd403c97d4d184865ab6e41817ae2c2d,bsc,False,,,,,,,,,,,,,,,,,
0xd05cf750bd403c97d4d184865ab6e41817ae2c2d,ethereum,False,,,,,,,,,,,,,,,,,
0xd05cf750bd403c97d4d184865ab6e41817ae2c2d,flare,False,,,,,,,,,,,,,,,,,
0xd05cf750bd403c97d4d184865ab6e41817ae2c2d,linea,False,,,,,,,,,,,,,,,,,
0xd05cf750bd403c97d4d184865ab6e41817ae2c2d,manta,False,,,,,,,,,,,,,,,,,
0xd05cf750bd403c97d4d184865ab6e41817ae2c2d,mantle,False,,,,,,,,,,,,,,,,,
0xd05cf750bd403c97d4d184865ab6e41817ae2c2d,optimism,False,,,,,,,,,,,,,,,,,
0xd05cf750bd403c97d4d184865ab6e41817ae2c2d,polygon,False,,,,,,,,,,,,,,,,,
0xd05cf750bd403c97d4d184865ab6e41817ae2c2d,sonic,False,,,,,,,,,,,,,,,,,
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,arbitrum_one,False,,,,,,,,0x,,0x,dex,,,https://0x.org,https://twitter.com/0xProject,https://www.crunchbase.com/organization/0x-project,https://www.linkedin.com/company/0x
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,avalanche,False,,,,,,,,0x,,0x,dex,,,https://0x.org,https://twitter.com/0xProject,https://www.crunchbase.com/organization/0x-project,https://www.linkedin.com/company/0x
0x22f9dcf4647084d6c31b2765f6910cd85c178c18,base,False,,,,,,,,0x,,0x,dex,,,https://0x.org,https://twitter.com/0xProject,https://www.crunchbase.com/organization/0x-project,https://www.linkedin.com/company/0x
